risco_id,etapa,risco,causa,efeito,probabilidade,impacto,controle_preventivo,gatilho_suspensao,responsavel,status
MDN-RPP01-RIS-001,G0,Escopo retrospectivo,Objetivo ou período definidos após contato com resultados,Narrativa adaptada ao resultado,media,alto,Manifesto aprovado antes da coleta,Coleta iniciada com campos obrigatórios pendentes,a_confirmar,aberto
MDN-RPP01-RIS-002,G1,Coleta incompleta,Ferramenta ou paginação não registradas,Corpus sem completude verificável,alta,alto,Log por tentativa e configuração preservada,Diferença sem explicação entre fontes previstas e arquivos,a_confirmar,aberto
MDN-RPP01-RIS-003,G1,Alteração de bruto,Sobrescrita ou manipulação do XLSX,Perda de cadeia de custódia,baixa,critico,Imutabilidade e hash SHA-256,Hash divergente ou data incompatível,a_confirmar,aberto
MDN-RPP01-RIS-004,G2,Classificação forçada,Cobertura insuficiente da taxonomia ou das regras,Superinterpretação,alta,alto,Opção não determinado e revisão humana,Classificação sem termo ou justificativa recuperável,a_confirmar,aberto
MDN-RPP01-RIS-005,G2,Apagamento de sinal não textual,Exclusão automática de emojis,Perda cultural e afetiva,media,medio,Manter fora_classificacao_textual sem remover,Soma de entrada não reconciliada,a_confirmar,aberto
MDN-RPP01-RIS-006,G3,Quebra de linhagem,Identificadores concatenados ou decompostos,Agregado sem retorno à origem,media,critico,Tabela relacional grupo_registro,Vínculo ausente ou volume divergente,a_confirmar,aberto
MDN-RPP01-RIS-007,G4,Reidentificação,Combinação de nomes trechos URLs ou células pequenas,Exposição individual,alta,critico,Sanitização automática e revisão humana,Qualquer identificador ou célula menor que cinco,a_confirmar,aberto
MDN-RPP01-RIS-008,G4,Publicação prematura,Produto técnico tratado como autorizado,Risco reputacional e de governança,media,critico,Gate datado e assinado,G4 falso ou segundo revisor ausente,a_confirmar,aberto
MDN-RPP01-RIS-009,G5,Dependência do idealizador,Documentação insuficiente,Baixa reaplicabilidade,alta,alto,Teste independente com fixture,Terceiro não conclui sem intervenção estrutural,a_confirmar,aberto
MDN-RPP01-RIS-010,G0,Sobreafirmação jurídica,Advertência ampla apresentada como enquadramento penal automático,Falsa sensação de proteção e risco de credibilidade,alta,alto,Dossiê restrito com linguagem condicional e revisão jurídica externa,Afirmação pública de crime patente ou registro sem prova,Diego da Silva,mitigado_parcialmente
MDN-RPP01-RIS-011,G0,Sobreafirmação técnica,Comunicação promete PLN avançado polaridade precisão ou impacto não validados,Expectativa comercial incompatível com a evidência,alta,alto,Minuta pública limitada à triagem lexical validação humana e sinais descritivos,Capacidade divulgada sem teste métrica e artefato verificável,Diego da Silva,mitigado_parcialmente
MDN-RPP01-RIS-012,G4,Mistura de documento restrito e comunicação pública,Identidade advertência jurídica e segredo técnico no mesmo material,Vazamento e ruído comercial,media,critico,Separação documental e gate de circulação,Dossiê JUR anexado ou copiado para apresentação pública,Diego da Silva,mitigado_parcialmente
MDN-RPP01-RIS-013,G0,Confusão entre histórico e rodada prospectiva,Documento único combina resultados antigos controles atuais e intenções futuras,Planos apresentados como execução e controles prospectivos atribuídos ao passado,alta,alto,Documentos corrigidos com camadas históricas prospectivas e futuras explícitas,Documento omite a camada ou mistura denominadores,Diego da Silva,mitigado_parcialmente
MDN-RPP01-RIS-014,G4,Interlocução externa apresentada como validação,Contato ou intenção de contato descritos como parceria aprovação ou certificação,Risco reputacional e atribuição institucional indevida,media,alto,Log de interlocução e confirmação de atribuição obrigatórios,Instituição citada sem registro e manifestação expressa,Diego da Silva,aberto
MDN-RPP01-RIS-015,G4,Sanitização documental tratada como anonimização,Varredura sintática usada como prova suficiente de proteção,Reidentificação contextual e falsa conformidade,alta,critico,Segundo revisor teste de células raras matriz de risco e gate formal,Relatório histórico usado como certificado ou autorização pública,Diego da Silva,aberto

